Wed Jun 11 16:39:53 2014,1402497593.199867,"['10', '25.709', '0.615', '0']"
Wed Jun 11 16:39:54 2014,1402497594.199852,"['10', '25.708', '2.965', '0']"
Wed Jun 11 16:39:55 2014,1402497595.199873,"['10', '25.723', '2.293', '0']"
Wed Jun 11 16:39:56 2014,1402497596.199874,"['10', '25.700', '2.571', '0']"
Wed Jun 11 16:39:57 2014,1402497597.199835,"['10', '25.691', '2.756', '0']"
Wed Jun 11 16:39:58 2014,1402497598.199878,"['10', '25.699', '2.766', '0']"
Wed Jun 11 16:39:59 2014,1402497599.199806,"['10', '25.687', '2.783', '0']"
Wed Jun 11 16:40:00 2014,1402497600.199735,"['10', '25.674', '2.783', '0']"
Wed Jun 11 16:40:01 2014,1402497601.199849,"['10', '25.674', '2.779', '0']"
Wed Jun 11 16:40:02 2014,1402497602.199958,"['10', '25.688', '2.820', '0']"
Wed Jun 11 16:40:03 2014,1402497603.19995,"['10', '25.665', '2.104', '0']"
Wed Jun 11 16:40:04 2014,1402497604.199925,"['10', '25.671', '0.699', '0']"
Wed Jun 11 16:40:05 2014,1402497605.199931,"['10', '25.678', '0.633', '0']"
Wed Jun 11 16:43:35 2014,1402497815.252382,['']
Wed Jun 11 16:43:36 2014,1402497816.253677,"['10', '24.485', '0.118', '0']"
Wed Jun 11 16:43:37 2014,1402497817.253387,"['10', '24.459', '0.117', '0']"
Wed Jun 11 16:43:38 2014,1402497818.253398,"['10', '24.469', '0.117', '0']"
Wed Jun 11 16:43:39 2014,1402497819.253662,"['10', '24.469', '0.115', '0']"
Wed Jun 11 16:43:40 2014,1402497820.253568,"['10', '24.472', '0.114', '0']"
Wed Jun 11 16:43:41 2014,1402497821.253421,"['10', '24.464', '0.112', '0']"
Wed Jun 11 16:43:42 2014,1402497822.253562,"['10', '24.454', '0.111', '0']"
Wed Jun 11 16:43:43 2014,1402497823.253653,"['10', '24.471', '0.110', '0']"
Wed Jun 11 16:43:44 2014,1402497824.253644,"['10', '24.479', '0.108', '0']"
Wed Jun 11 16:43:45 2014,1402497825.253611,"['10', '24.478', '0.106', '0']"
Wed Jun 11 16:43:46 2014,1402497826.253308,"['10', '24.478', '0.106', '0']"
Wed Jun 11 16:43:47 2014,1402497827.253717,"['10', '24.461', '0.105', '0']"
Wed Jun 11 16:43:48 2014,1402497828.253574,"['10', '24.455', '0.103', '0']"
Wed Jun 11 16:43:49 2014,1402497829.253415,"['10', '24.451', '0.102', '0']"
Wed Jun 11 16:43:50 2014,1402497830.253277,"['10', '24.454', '0.102', '0']"
Wed Jun 11 16:43:51 2014,1402497831.253697,"['10', '24.458', '0.101', '0']"
Wed Jun 11 16:43:52 2014,1402497832.253599,"['10', '24.468', '0.100', '0']"
Wed Jun 11 16:43:53 2014,1402497833.253739,"['10', '24.465', '0.100', '0']"
Wed Jun 11 16:43:54 2014,1402497834.253567,"['10', '24.465', '0.100', '0']"
Wed Jun 11 16:43:55 2014,1402497835.253689,"['10', '24.451', '0.099', '0']"
Wed Jun 11 16:43:56 2014,1402497836.253627,"['10', '24.465', '0.098', '0']"
Wed Jun 11 16:43:57 2014,1402497837.253387,"['10', '24.458', '0.096', '0']"
Wed Jun 11 16:43:58 2014,1402497838.253314,"['10', '24.463', '0.095', '0']"
Wed Jun 11 16:43:59 2014,1402497839.253649,"['10', '24.451', '0.093', '0']"
Wed Jun 11 16:44:00 2014,1402497840.253684,"['10', '24.450', '0.091', '0']"
Wed Jun 11 16:44:01 2014,1402497841.253736,"['10', '24.450', '0.091', '0']"
Wed Jun 11 16:44:02 2014,1402497842.253525,"['10', '24.441', '0.089', '0']"
Wed Jun 11 16:44:03 2014,1402497843.253495,"['10', '24.446', '0.086', '0']"
Wed Jun 11 16:44:04 2014,1402497844.253509,"['10', '24.420', '0.083', '0']"
Wed Jun 11 16:44:05 2014,1402497845.253744,"['10', '24.431', '0.080', '0']"
Wed Jun 11 16:44:06 2014,1402497846.253576,"['10', '24.418', '0.077', '0']"
Wed Jun 11 16:44:07 2014,1402497847.253783,"['10', '24.426', '0.074', '0']"
Wed Jun 11 16:44:08 2014,1402497848.253662,"['10', '24.425', '0.074', '0']"
Wed Jun 11 16:44:09 2014,1402497849.253719,"['10', '24.425', '0.072', '0']"
Wed Jun 11 16:44:10 2014,1402497850.253659,"['10', '24.426', '0.071', '0']"
Wed Jun 11 16:44:11 2014,1402497851.253656,"['10', '24.413', '0.073', '0']"
Wed Jun 11 16:44:12 2014,1402497852.253658,"['10', '24.418', '0.071', '0']"
Wed Jun 11 16:44:13 2014,1402497853.25366,"['10', '24.416', '0.073', '0\r)\x02']"
Wed Jun 11 16:44:14 2014,1402497854.253555,"['10', '24.399', '0.075', '0']"
Wed Jun 11 16:44:15 2014,1402497855.2543,"['10', '24.400', '0.078', '0']"
Wed Jun 11 16:44:16 2014,1402497856.253585,"['10', '24.400', '0.078', '0']"
Wed Jun 11 16:44:17 2014,1402497857.253587,"['10', '24.407', '0.083', '0']"
Wed Jun 11 16:44:18 2014,1402497858.253619,"['10', '24.398', '0.090', '0']"
Wed Jun 11 16:44:19 2014,1402497859.25362,"['10', '24.395', '0.097', '0']"
Wed Jun 11 16:44:20 2014,1402497860.253675,"['10', '24.419', '0.106', '0']"
Wed Jun 11 16:44:21 2014,1402497861.253623,"['10', '24.413', '0.114', '0']"
Wed Jun 11 16:44:22 2014,1402497862.253583,"['10', '24.403', '0.121', '0']"
Wed Jun 11 16:44:23 2014,1402497863.253661,"['10', '24.398', '0.121', '0']"
Wed Jun 11 16:44:24 2014,1402497864.253537,"['10', '24.398', '0.129', '0']"
Wed Jun 11 16:44:25 2014,1402497865.253514,"['10', '24.388', '0.134', '0']"
Wed Jun 11 16:44:26 2014,1402497866.254231,"['10', '24.398', '0.140', '0']"
Wed Jun 11 16:44:27 2014,1402497867.254225,"['10', '24.407', '0.146', '0']"
Wed Jun 11 16:44:28 2014,1402497868.253666,"['10', '24.388', '0.153', '0']"
Wed Jun 11 16:44:29 2014,1402497869.253838,"['10', '24.380', '0.161', '0']"
Wed Jun 11 16:44:30 2014,1402497870.253659,"['10', '2\xd1\xe66\x96\x16\xc6\x193Yf3n\x960']"
Wed Jun 11 16:44:31 2014,1402497871.253805,"['10', '24.391', '0.168', '0']"
Wed Jun 11 16:44:32 2014,1402497872.253591,"['10', '24.389', '0.177', '0']"
Wed Jun 11 16:44:33 2014,1402497873.25349,"['10', '24.374', '0.186', '0']"
Wed Jun 11 16:44:34 2014,1402497874.25361,"['10', '24.370', '0.196', '0']"
Wed Jun 11 16:44:35 2014,1402497875.253671,"['10', '24.383', '0.207', '0']"
Wed Jun 11 16:44:36 2014,1402497876.253505,"['\xcc\x90', '24.366', '0.218', '0']"
Wed Jun 11 16:44:37 2014,1402497877.253643,"['10', '24.378', '0.231', '0']"
Wed Jun 11 16:44:38 2014,1402497878.253632,"['10', '24.386', '0.231', '0']"
Wed Jun 11 16:44:39 2014,1402497879.253364,"['10', '24.386', '0.246', '0']"
Wed Jun 11 16:44:40 2014,1402497880.253522,"['10', '24.383', '0.262', '0']"
Wed Jun 11 16:44:41 2014,1402497881.253392,"['10', '24.383', '0.276', '0']"
Wed Jun 11 16:44:42 2014,1402497882.253587,"['10', '24.399', '0.288', '0']"
Wed Jun 11 16:44:43 2014,1402497883.253608,"['10', '24.385', '0.294', '0']"
Wed Jun 11 16:44:44 2014,1402497884.253187,"['10', '24.389', '0.293', '0']"
Wed Jun 11 16:44:45 2014,1402497885.252376,"['10', '24.377', '0.283', '0']"
Wed Jun 11 16:58:51 2014,1402498731.806021,
Wed Jun 11 16:58:52 2014,1402498732.806631,10,25.295,0.012,0
Wed Jun 11 16:58:53 2014,1402498733.806784,10,25.273,0.012,0
Wed Jun 11 16:58:54 2014,1402498734.80688,10,25.277,0.013,0
Wed Jun 11 16:58:55 2014,1402498735.807113,10,25.288,0.014,0
Wed Jun 11 16:58:56 2014,1402498736.806998,10,25.279,0.014,0
Wed Jun 11 16:58:57 2014,1402498737.806999,10,25.280,0.014,0
Wed Jun 11 16:58:58 2014,1402498738.80779,10,25.280,0.012,0
Wed Jun 11 16:58:59 2014,1402498739.806988,10,25.288,0.009,0
Wed Jun 11 16:59:00 2014,1402498740.807015,10,25.297,0.006,0
Wed Jun 11 16:59:01 2014,1402498741.807015,10,25.298,0.006,0
Wed Jun 11 16:59:02 2014,1402498742.807788,10,25.316,0.006,0
Wed Jun 11 16:59:03 2014,1402498743.807192,10,25.321,0.007,0
Wed Jun 11 16:59:04 2014,1402498744.806973,10,25.326,0.007,0
Wed Jun 11 16:59:05 2014,1402498745.807839,10,25.339,0.007,0
Wed Jun 11 16:59:06 2014,1402498746.807648,10,25.339,0.007,0
Wed Jun 11 16:59:07 2014,1402498747.807141,10,25.326,0.008,0
Wed Jun 11 16:59:08 2014,1402498748.807065,10,25.321,0.008,0
Wed Jun 11 16:59:09 2014,1402498749.807023,10,25.318,0.008,0
